"Код;Наименование;Уровень1;Уровень2;Уровень3;Цена;ЦенаСП;Количество;Поля свойств;Совместные покупки;Единица измерения;Картинка;Выводить на главной;Описание"
"Б0001412;Сверло для бетона 8х200;Инструменты;Расходники;Бурысверла;5510;5394;8;;;шт;sd_00151;0;"
"Б0001718;Сверло по металлу  20х49мм;Инструменты;Расходники;Бурысверла;2755;2697;22;;;шт;;0;"
"Б0001100;Сверло по металлу  25х57мм;Инструменты;Расходники;Бурысверла;3135;3069;14;;;шт;;0;"
"Б0001101;Сверло по металлу  30х61мм;Инструменты;Расходники;Бурысверла;4085;3999;16;;;шт;;0;"
"Б0001719;Сверло по металлу  32х65мм;Инструменты;Расходники;Бурысверла;3515;3441;42;;;шт;;0;"
"Б0001884;Сверло по металлу  35х70мм;Инструменты;Расходники;Бурысверла;6840;6696;19;;;шт;;0;"
"Б0001102;Сверло по металлу  40х75мм;Инструменты;Расходники;Бурысверла;4845;4743;13;;;шт;;0;"
"Б0001720;Сверло по металлу  42х75мм;Инструменты;Расходники;Бурысверла;4940;4836;15;;;шт;;0;"
"Б0001723;Сверло по металлу  45х80мм;Инструменты;Расходники;Бурысверла;3420;3348;5;;;шт;;0;"
"Б0001417;Сверло по металлу  50х85мм;Инструменты;Расходники;Бурысверла;6175;6045;8;;;шт;;0;"
"Б0026216;Сверло по металлу 60*93 мм;Инструменты;Расходники;Бурысверла;7980;7812;13;;;шт;;0;"
"Б0002069;Сверло универсальное  10 х 80/120;Инструменты;Расходники;Бурысверла;20425;19995;1;;;шт;;0;"
"Б0003185;Рулетка \RemoSpace\ 16мм3м;Инструменты;Ручной инструмент;Измерительный инструмент;11305;11067;1;;;шт;;0;"
"Б0000093;Уровень коробчатый \Yellow\3 ампулы100см;Инструменты;Ручной инструмент;Измерительный инструмент;16815;16461;3;;;шт;_MG_7962;0;"
"Б0000117;Уровень коробчатый \Yellow\3 ампулы150см;Инструменты;Ручной инструмент;Измерительный инструмент;31255;30597;2;;;шт;_MG_7962;0;"
"Б0002791;Уровень коробчатый \Yellow\3 ампулы200см;Инструменты;Ручной инструмент;Измерительный инструмент;30685;30039;2;;;шт;_MG_7962;0;"
"Б0002706;Валик Мольтопрен  180мм  (ось 8мм);Инструменты;Ручной инструмент;Малярный инструмент;16720;16368;3;;;шт;;0;Полиэстр пенныйшубка наклеена на пластик. корпус диамнтром 48мм. Поверхности: гладкиеПрименение: для красок и лаков на водной снове"
"Б0002707;Валик Мольтопрен  250мм  (ось 8мм);Инструменты;Ручной инструмент;Малярный инструмент;25745;25203;2;;;шт;;0;Полиэстр пенныйшубка наклеена на пластик. корпус диамнтром 48мм. Поверхности: гладкиеПрименение: для красок и лаков на водной снове"
"Б0000774;Валик поролоновый 200мм с ручкой;Инструменты;Ручной инструмент;Малярный инструмент;7600;7440;2;;;шт;_MG_7980;0;Шубка: поролон. Плотность поролона: 25 кг куб.м. Рекомендуемые ЛКМ: водно-клеевые растворыводнодисперсионные краскипобелки."
"Б0000721;Валик поролоновый 250мм с ручкой;Инструменты;Ручной инструмент;Малярный инструмент;8930;8742;4;;;шт;;0;Шубка: поролон. Плотность поролона: 25 кг куб.м. Рекомендуемые ЛКМ: водно-клеевые растворыводнодисперсионные краскипобелки."
"Б0000702;Валик прижимной резиновый 150мм с ручкой;Инструменты;Ручной инструмент;Малярный инструмент;12255;11997;1;;;шт;;0;Для прокатки обоев (для удаления пузырьков воздуха)"
"Б0000125;Валик прижимной резиновый 180мм с ручкой;Инструменты;Ручной инструмент;Малярный инструмент;21755;21297;2;;;шт;_MG_7992;0;Для прокатки обоев (для удаления пузырьков воздуха)"
"Б0000110;Валик Синтекс фасадный 94/250мм;Инструменты;Ручной инструмент;Малярный инструмент;18430;18042;2;;;шт;_MG_7998;0;Фасадныйтип \""Профи\"". Шубка валика: полиакрил на тканевой основе. Поверхности: грубыешероховатые. Рекомендуемые виды ЛКМ: все виды ЛКМ. Высокая насыщаемость краской."
"Б0000137;Карандаш малярный250мм;Инструменты;Ручной инструмент;Малярный инструмент;1615;1581;40;;;шт;sd_00149;0;"
"Б0000837;Кисть круглая №12;Инструменты;Ручной инструмент;Малярный инструмент;5225;5115;6;;;шт;sd_00249;0;"
"Б0003193;Кисть радиаторная 1\;Инструменты;Ручной инструмент;Малярный инструмент;2470;2418;9;;;шт;_MG_8051;0;"
"Б0001176;Кисть радиаторная 15\;Инструменты;Ручной инструмент;Малярный инструмент;3135;3069;4;;;шт;_MG_8051;0;"
"Б0000644;Кисть радиаторная 2\;Инструменты;Ручной инструмент;Малярный инструмент;4085;3999;2;;;шт;_MG_8048;0;Натуральная щетинадля всех видов ЛКМ."
"Б0000645;Кисть флейцевая Колор 1\;Инструменты;Ручной инструмент;Малярный инструмент;4085;3999;3;;;шт;;0;"
"Б0002716;Кюветка пластм. 250х250мм;Инструменты;Ручной инструмент;Малярный инструмент;4465;4370;2;;;шт;sd_00076;0;"
"Б0003211;Минивалик Синтекс  100мм  (ось  6мм);Инструменты;Ручной инструмент;Малярный инструмент;2755;2697;5;;;шт;;0;"
"Б0003212;Минивалик Синтекс  150мм  (ось  6мм);Инструменты;Ручной инструмент;Малярный инструмент;3135;3069;9;;;шт;;0;"
"Б0002711;Минивалик Синтекс  55мм  (ось  6мм);Инструменты;Ручной инструмент;Малярный инструмент;2185;2139;1;;;шт;;0;"
"Б0001125;Респиратор У-2К;Инструменты;Ручной инструмент;Малярный инструмент;3325;3255;13;;;шт;;0;"
"Б0003213;Ручка для валика 180мм;Инструменты;Ручной инструмент;Малярный инструмент;6840;6696;12;;;шт;sd_00072;0;"
"Б0000103;Ручка для миниваликов 5-7 см (ось 6 мм);Инструменты;Ручной инструмент;Малярный инструмент;3420;3348;7;;;шт;;0;"
"Б0000120;Ручка телескопическая 115-200см;Инструменты;Ручной инструмент;Малярный инструмент;18430;18042;1;;;шт;sd_00256;0;"
"Б0003381;Шнур малярный 30м (пластиковый корпус);Инструменты;Ручной инструмент;Малярный инструмент;6840;6696;3;;;шт;sd_00280;0;"
"Б0001164;Шубка меховая \Ягненок\  250мм;Инструменты;Ручной инструмент;Малярный инструмент;2375;2325;1;;;шт;;0;"
"Б0001965;Кусачки боковые  160ммдиэлектрические;Инструменты;Ручной инструмент;Режущий инструмент;17670;17298;1;;;шт;;0;"
"Б0003215;Кусачки боковые Fine\160 мм;Инструменты;Ручной инструмент;Режущий инструмент;13585;13299;2;;;шт;;0;"
"Б0000104;Лезвия для ножей 18 мм;Инструменты;Ручной инструмент;Режущий инструмент;4940;4836;32;;;шт;;0;"
